Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Brain-ID: Learning Contrast-Agnostic Anatomical Representations for Brain Imaging","Brain-ID is a robust anatomical representation learning model for brain imaging, achieving state-of-the-art performance on diverse MRI modalities and CT datasets, even on low-resolution and small datasets.","Peirong Liu, O. Puonti, Xiaoling Hu, Daniel C. Alexander, J. E. Iglesias",2023,14,"Recent learning-based approaches have made astonishing advances in calibrated medical imaging like computerized tomography (CT), yet they struggle to generalize in uncalibrated modalities -- notably magnetic resonance (MR) imaging, where performance is highly sensitive to the differences in MR contrast, resolution, and orientation. This prevents broad applicability to diverse real-world clinical protocols. We introduce Brain-ID, an anatomical representation learning model for brain imaging. With the proposed""mild-to-severe""intra-subject generation, Brain-ID is robust to the subject-specific brain anatomy regardless of the appearance of acquired images (e.g., contrast, deformation, resolution, artifacts). Trained entirely on synthetic data, Brain-ID readily adapts to various downstream tasks through only one layer. We present new metrics to validate the intra- and inter-subject robustness of Brain-ID features, and evaluate their performance on four downstream applications, covering contrast-independent (anatomy reconstruction/contrast synthesis, brain segmentation), and contrast-dependent (super-resolution, bias field estimation) tasks. Extensive experiments on six public datasets demonstrate that Brain-ID achieves state-of-the-art performance in all tasks on different MRI modalities and CT, and more importantly, preserves its performance on low-resolution and small datasets. Code is available at https://github.com/peirong26/Brain-ID.","","","","10.1007/978-3-031-73254-6_19","https://consensus.app/papers/brainid-learning-contrastagnostic-anatomical-liu-puonti/70484708052950c1a037b967990d5c97/"
"A Modality-agnostic Multi-task Foundation Model for Human Brain Imaging","BrainFM is a modality-agnostic, multi-task vision foundation model for human brain imaging, effectively applied to five fundamental tasks and input modalities across various clinical protocols.","Peirong Liu, O. Puonti, Xiaoling Hu, Karthik Gopinath, A. Sorby-Adams, Daniel C. Alexander, W. Kimberly, J. E. Iglesias",2025,6,"Recent learning-based approaches have made astonishing advances in calibrated medical imaging like computerized tomography (CT), yet they struggle to generalize in uncalibrated modalities -- notably magnetic resonance (MR) imaging, where performance is highly sensitive to the differences in MR contrast, resolution, and orientation. This prevents broad applicability to diverse real-world clinical protocols. Here we introduce BrainFM, a modality-agnostic, multi-task vision foundation model for human brain imaging. With the proposed""mild-to-severe""intra-subject generation and""real-synth""mix-up training strategy, BrainFM is resilient to the appearance of acquired images (e.g., modality, contrast, deformation, resolution, artifacts), and can be directly applied to five fundamental brain imaging tasks, including image synthesis for CT and T1w/T2w/FLAIR MRI, anatomy segmentation, scalp-to-cortical distance, bias field estimation, and registration. We evaluate the efficacy of BrainFM on eleven public datasets, and demonstrate its robustness and effectiveness across all tasks and input modalities. Code is available at https://github.com/jhuldr/BrainFM.","","ArXiv","","10.48550/arxiv.2509.00549","https://consensus.app/papers/a-modalityagnostic-multitask-foundation-model-for-human-liu-puonti/f11cc05cf3b55203b13fe279e7a27633/"
"Modality-Agnostic Input Channels Enable Segmentation of Brain lesions in Multimodal MRI with Sequences Unavailable During Training","This study developed a model that can effectively segment brain lesions in multimodal MRI using both seen and unseen modalities, improving detection and analysis of brain pathology.","Anthony P. Addison, Felix Wagner, Wentian Xu, Natalie Voets, K. Kamnitsas",2025,0,"Segmentation models are important tools for the detection and analysis of lesions in brain MRI. Depending on the type of brain pathology that is imaged, MRI scanners can acquire multiple, different image modalities (contrasts). Most segmentation models for multimodal brain MRI are restricted to fixed modalities and cannot effectively process new ones at inference. Some models generalize to unseen modalities but may lose discriminative modality-specific information. This work aims to develop a model that can perform inference on data that contain image modalities unseen during training, previously seen modalities, and heterogeneous combinations of both, thus allowing a user to utilize any available imaging modalities. We demonstrate this is possible with a simple, thus practical alteration to the U-net architecture, by integrating a modality-agnostic input channel or pathway, alongside modality-specific input channels. To train this modality-agnostic component, we develop an image augmentation scheme that synthesizes artificial MRI modalities. Augmentations differentially alter the appearance of pathological and healthy brain tissue to create artificial contrasts between them while maintaining realistic anatomical integrity. We evaluate the method using 8 MRI databases that include 5 types of pathologies (stroke, tumours, traumatic brain injury, multiple sclerosis and white matter hyperintensities) and 8 modalities (T1, T1+contrast, T2, PD, SWI, DWI, ADC and FLAIR). The results demonstrate that the approach preserves the ability to effectively process MRI modalities encountered during training, while being able to process new, unseen modalities to improve its segmentation. Project code: https://github.com/Anthony-P-Addison/AGN-MOD-SEG","","ArXiv","","10.48550/arxiv.2509.09290","https://consensus.app/papers/modalityagnostic-input-channels-enable-segmentation-of-addison-wagner/114580c5393d58d4be150139b9b51237/"
"MouseGAN++: Unsupervised Disentanglement and Contrastive Representation for Multiple MRI Modalities Synthesis and Structural Segmentation of Mouse Brain","MouseGAN++ effectively synthesizes multiple MR modalities from single ones, improving mouse brain fine structure segmentation performance by combining cross-modality information.","Ziqi Yu, Xiaoyang Han, Shengjie Zhang, Jianfeng Feng, Tingying Peng, Xiao-Yong Zhang",2022,27,"Segmenting the fine structure of the mouse brain on magnetic resonance (MR) images is critical for delineating morphological regions, analyzing brain function, and understanding their relationships. Compared to a single MRI modality, multimodal MRI data provide complementary tissue features that can be exploited by deep learning models, resulting in better segmentation results. However, multimodal mouse brain MRI data is often lacking, making automatic segmentation of mouse brain fine structure a very challenging task. To address this issue, it is necessary to fuse multimodal MRI data to produce distinguished contrasts in different brain structures. Hence, we propose a novel disentangled and contrastive GAN-based framework, named MouseGAN++, to synthesize multiple MR modalities from single ones in a structure-preserving manner, thus improving the segmentation performance by imputing missing modalities and multi-modality fusion. Our results demonstrate that the translation performance of our method outperforms the state-of-the-art methods. Using the subsequently learned modality-invariant information as well as the modality-translated images, MouseGAN++ can segment fine brain structures with averaged dice coefficients of 90.0% (T2w) and 87.9% (T1w), respectively, achieving around +10% performance improvement compared to the state-of-the-art algorithms. Our results demonstrate that MouseGAN++, as a simultaneous image synthesis and segmentation method, can be used to fuse cross-modality information in an unpaired manner and yield more robust performance in the absence of multimodal data. We release our method as a mouse brain structural segmentation tool for free academic usage at https://github.com/yu02019.","","IEEE Transactions on Medical Imaging","1","10.1109/tmi.2022.3225528","https://consensus.app/papers/mousegan-unsupervised-disentanglement-and-contrastive-yu-han/00289a1de7c8586091681f41bcb5084e/"
"Bidirectional T1–T2 Brain MRI Synthesis Using a Fusion U-Net Transformer for Real-World Clinical Data","","Zeynep Cantemir, H. Karacan, E. Cindil, B. Kalafat",2026,0,"Obtaining multiple MRI contrasts for each patient prolongs scan acquisition time, increases healthcare costs, and may not always be feasible due to patient specific constraints. Deep learning-based MRI contrast synthesis offers a potential solution, yet most existing approaches are evaluated on preprocessed public benchmarks that do not reflect real-world clinical variability. In this study, we propose a fusion U-Net transformer framework for bidirectional T1-weighted ↔ T2-weighted brain MRI synthesis trained and evaluated exclusively on retrospectively acquired clinical data. The proposed architecture integrates multiscale convolutional feature extraction with axial attention mechanisms and a transformer bottleneck for efficient global context modeling. A fusion refinement block is incorporated to mitigate skip connection artifacts. An adversarial training strategy with the least squares GAN objective and a hybrid loss combining L1 reconstruction and structural similarity (SSIM) is employed to promote both pixel-level accuracy and perceptual fidelity. The model is evaluated using SSIM and PSNR metrics alongside qualitative expert assessment conducted by two board-certified radiologists. For both synthesis directions, the framework achieves competitive quantitative performance against baseline models under the challenging conditions of clinical data. Expert evaluation confirms high anatomical fidelity and clinically acceptable image quality across both synthesis directions. These results indicate that the proposed framework represents a promising approach for multi-contrast MRI synthesis in clinically heterogeneous data environments.","","Applied Sciences","2","10.3390/app16083674","https://consensus.app/papers/bidirectional-t1t2-brain-mri-synthesis-using-a-fusion-unet-cantemir-karacan/81f8e0032a365cc2a5a02f3f7b379c84/"
"Exploring contrast generalisation in deep learning-based brain MRI-to-CT synthesis","Domain randomisation improves the generalisation of deep learning models for brain sCT generation, improving image similarity and dose accuracy in MRI-based radiotherapy.","Lotte Nijskens, C. D. Berg, J. Verhoeff, M. Maspero",2023,12,"","","Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics","1","10.1016/j.ejmp.2023.102642","https://consensus.app/papers/exploring-contrast-generalisation-in-deep-learningbased-nijskens-berg/32b6adc47e425de4b731de796661626e/"
"Deep MRI brain extraction: A 3D convolutional neural network for skull stripping","Our 3D convolutional neural network effectively extracts brain tissue from MRI data, outperforming existing methods and matching state-of-the-art performance on various datasets.","Jens Kleesiek, G. Urban, Alexander Hubert, D. Schwarz, Klaus Hermann Maier-Hein, M. Bendszus, A. Biller",2016,487,"","","NeuroImage","1","10.1016/j.neuroimage.2016.01.024","https://consensus.app/papers/deep-mri-brain-extraction-a-3d-convolutional-neural-kleesiek-urban/646225f1d1155f62904c304ab35a68bf/"
"Multi-Contrast MRI Image Synthesis Using Switchable Cycle-Consistent Generative Adversarial Networks","Switchable CycleGAN models outperform original CycleGAN models in pediatric MRI brain image synthesis, enabling the generation of unacquired image contrasts from available contrasts.","Huixian Zhang, Hailong Li, J. Dillman, N. Parikh, Lili He",2022,35,"Multi-contrast MRI images use different echo and repetition times to highlight different tissues. However, not all desired image contrasts may be available due to scan-time limitations, suboptimal signal-to-noise ratio, and/or image artifacts. Deep learning approaches have brought revolutionary advances in medical image synthesis, enabling the generation of unacquired image contrasts (e.g., T1-weighted MRI images) from available image contrasts (e.g., T2-weighted images). Particularly, CycleGAN is an advanced technique for image synthesis using unpaired images. However, it requires two separate image generators, demanding more training resources and computations. Recently, a switchable CycleGAN has been proposed to address this limitation and successfully implemented using CT images. However, it remains unclear if switchable CycleGAN can be applied to cross-contrast MRI synthesis. In addition, whether switchable CycleGAN is able to outperform original CycleGAN on cross-contrast MRI image synthesis is still an open question. In this paper, we developed a switchable CycleGAN model for image synthesis between multi-contrast brain MRI images using a large set of publicly accessible pediatric structural brain MRI images. We conducted extensive experiments to compare switchable CycleGAN with original CycleGAN both quantitatively and qualitatively. Experimental results demonstrate that switchable CycleGAN is able to outperform CycleGAN model on pediatric MRI brain image synthesis.","","Diagnostics","2","10.3390/diagnostics12040816","https://consensus.app/papers/multicontrast-mri-image-synthesis-using-switchable-zhang-li/2f1e909dfa395140a2254b4fbb0f1e32/"
"Synthesizing MR Image Contrast Enhancement Using 3D High-resolution ConvNets","Deep learning-based approaches can potentially replace gadolinium-based contrast agents in brain MRI, reducing exposure while maintaining similar contrast information.","Chao Chen, Catalina Raymond, Bill Speier, Xinyu Jin, T. Cloughesy, D. Enzmann, B. Ellingson, C. Arnold",2021,56,"Objective: Gadolinium-based contrast agents (GBCAs) have been widely used to better visualize disease in brain magnetic resonance imaging (MRI). However, gadolinium deposition within the brain and body has raised safety concerns about the use of GBCAs. Therefore, the development of novel approaches that can decrease or even eliminate GBCA exposure while providing similar contrast information would be of significant use clinically.

Methods: In this work, we present a deep learning based approach for contrast-enhanced T1 synthesis on brain tumor patients. A 3D high-resolution fully convolutional network (FCN), which maintains high resolution information through processing and aggregates multi-scale information in parallel, is designed to map pre-contrast MRI sequences to contrast-enhanced MRI sequences. Specifically, three pre-contrast MRI sequences, T1, T2 and apparent diffusion coefficient map (ADC), are utilized as inputs and the post-contrast T1 sequences are utilized as target output. To alleviate the data imbalance problem between normal tissues and the tumor regions, we introduce a local loss to improve the contribution of the tumor regions, which leads to better enhancement results on tumors.

Results: Extensive quantitative and visual assessments are performed, with our proposed model achieving a PSNR of 28.24 dB in the brain and 21.2 dB in tumor regions.

Conclusion and significance: Our results suggest the potential of substituting GBCAs with synthetic contrast images generated via deep learning.","","IEEE transactions on bio-medical engineering","1","10.1109/tbme.2022.3192309","https://consensus.app/papers/synthesizing-mr-image-contrast-enhancement-using-3d-chen-raymond/ebf484e71c945eddb4d63cc02f258e51/"
"From Low Field to High Value: Robust Cortical Mapping From Low‐Field MRI","Our machine learning method accurately reconstructs and analyzes cortical surfaces in portable low-field MRI, enabling cost-effective and accessible brain imaging.","Karthik Gopinath, A. Sorby-Adams, J. W. Ramirez, Dina Zemlyanker, Jennifer Guo, David Hunt, C. M. Donald, C. Keene, Timothy S. Coalson, Matthew F. Glasser, D. Essen, Matthew S. Rosen, O. Puonti, W. Kimberly, J. E. Iglesias",2025,4,"Three-dimensional reconstruction of cortical surfaces from MRI for subsequent morphometric analysis is fundamental for understanding brain structure. While high-field Magnetic Resonance Imaging (HF-MRI) is the standard in research and clinical settings, its relatively limited availability hinders widespread use. Low-field MRI (LF-MRI), particularly portable systems, offers a cost-effective and accessible alternative. However, existing cortical surface analysis tools, such as FreeSurfer, are optimized for high-resolution HF-MRI and struggle with the lower signal-to-noise ratio (SNR) and resolution of LF-MRI. In this work, we present a machine learning method for 3D reconstruction and analysis of portable LF-MRI scans over a range of contrasts and resolutions. Our method works ""out of the box"" and does not require retraining. It leverages a 3D U-Net trained on synthetic LF-MRI data to predict signed distance functions of the cortical surfaces, followed by geometric processing to ensure topologically accurate reconstructions. We evaluate our approach using paired HF-/LF-MRI scans of the same 15 subjects and 50 subjects from the ULF-EnC dataset. The results show that our method robustly recovers surfaces across LF-MRI acquisitions, with accuracy depending on MRI contrast mechanism (T1 vs. T2), slice anisotropy (axial vs. isotropic), and resolution. A 3 mm isotropic T2-weighted scan acquired in under 4 min, which is comparable in duration to typical HF-MRI acquisitions, yields strong agreement with HF-derived surfaces: surface area correlates at r = 0.96 $$ r=0.96 $$ , cortical parcellations reach a Dice coefficient of 0.98 $$ 0.98 $$ , and gray matter volume achieves r = 0.93 $$ r=0.93 $$ . Cortical thickness remains more challenging but achieves correlations up to r = 0.70 $$ r=0.70 $$ , reflecting the difficulties of achieving sub-mm precision with ~3 × 3 × 3 mm voxels. Our results also show that recon-any performs robustly across other sequences and contrasts, though thickness estimates are particularly sensitive and degrade substantially with anisotropic or low-resolution scans. We also validate our method on challenging postmortem LF-MRI scans, further illustrating its robustness. Our method represents a significant step toward making cortical surface analysis feasible for portable LF-MRI systems. The tool is publicly available at https://surfer.nmr.mgh.harvard.edu/fswiki/ReconAny.

© 2026 The Author(s). Human Brain Mapping published by Wiley Periodicals LLC.","","Human Brain Mapping","1","10.1002/hbm.70515","https://consensus.app/papers/from-low-field-to-high-value-robust-cortical-mapping-from-gopinath-sorby-adams/52b1100a467e556c8bcd3def468caa69/"
"MARS: Learning Modality-Agnostic Representation for Scalable Cross-Media Retrieval","The MARS approach allows each modality to be trained independently, resulting in better cross-media retrieval performance than existing methods.","Yunbo Wang, Yuxin Peng",2022,34,"Cross-media retrieval (CMR) offers a flexible retrieval experience across multiple modalities. Existing CMR approaches are constrained by the assumption that the paired modalities are available in training, and they leverage the data of all modalities to obtain a common representation. However, as dealing with the data from new modality, the previous all modalities need to be re-trained, compromising the flexibility and practicality of CMR. In this paper, we propose an approach termed learning Modality-Agnostic Representation for Scalable cross-media retrieval (MARS), which allows each modality to be trained independently. To be specific, MARS treats the label information as a distinct modality, and introduces a label parsing module LabNet to generate semantic representation for correlating different modalities. Meanwhile, MARS constructs the modality-specific representation module DataNet to obtain the modality-shared representation and modality-exclusive representation equipped with unbiased semantic classification. Technically, for the first modality, we jointly train the LabNet and its DataNet to preserve the semantic similarity between the Label-derived representation and the modality-shared representation. For new modalities, MARS employs the well-learned LabNet to extract the representation in labels, and then such representation is served as the privilege to guide the associated DataNet training via the same objective. Furthermore, we assign the same classifier to the representation module of all modalities for better semantic alignment. With the above schema, the obtained modality-shared representation is considered to be modality-agnostic. Extensive experiments on several benchmark multi-modality datasets demonstrate that the proposed MARS achieves better results than existing methods.","","IEEE Transactions on Circuits and Systems for Video Technology","1","10.1109/tcsvt.2021.3136330","https://consensus.app/papers/mars-learning-modalityagnostic-representation-for-wang-peng/165e2a6da21a5f4fae66109e38230227/"
"Contrast enhancement: Cross-modal learning approach for medical images","The proposed contrast enhancement approach using Cycle-GAN improves medical image quality and facilitates further processing tasks by learning global contrast characteristics from high contrast T1-w MRI.","Naseem Rabia, Islam Akib Jayed, Alaya Cheikh Faouzi, Beghdadi Azeddine",2022,14,"Contrast is an imperative perceptible attribute embodying the image quality. In medical images, the poor quality specifically low contrast inhibits precise interpretation of the image. Contrast enhancement is, therefore, applied not merely to improve the visual quality of images but also enabling them to facilitate further processing tasks. We propose a contrast enhancement approach based on cross-modal learning in this paper. Cycle-GAN (Generative Adversarial Network) is used for this purpose, where UNet augmented with global features acts as a generator. Besides, individual batch normalization has been used to make generators adapt specifically to their input distributions. The proposed method accepts low contrast T2-weighted (T2-w) Magnetic Resonance images (MRI) and uses the corresponding high contrast T1-w MRI to learn the global contrast characteristics. The experiments were conducted on a publicly available IXI dataset. Comparison with recent CE methods and quantitative assessment using two prevalent metrics FSIM and BRISQUE validate the superior performance of the proposed method.","","Electronic Imaging","","10.2352/ei.2022.34.10.ipas-344","https://consensus.app/papers/contrast-enhancement-crossmodal-learning-approach-for-rabia-jayed/37728ad1c68e55c5b2f54255b6a9e49a/"
"Multi-modal brain MRI images enhancement based on framelet and local weights super-resolution.","Our new model for multi-modal brain MRI image enhancement using framelet decomposition and local weights improves visual sharpness and qualitative indicators compared to traditional methods.","Yingying Xu, Songsong Dai, Haifeng Song, Lei Du, Ying Chen",2023,3,"Magnetic resonance (MR) image enhancement technology can reconstruct high-resolution image from a low-resolution image, which is of great significance for clinical application and scientific research. T1 weighting and T2 weighting are the two common magnetic resonance imaging modes, each of which has its own advantages, but the imaging time of T2 is much longer than that of T1. Related studies have shown that they have very similar anatomical structures in brain images, which can be utilized to enhance the resolution of low-resolution T2 images by using the edge information of high-resolution T1 images that can be rapidly imaged, so as to shorten the imaging time needed for T2 images. In order to overcome the inflexibility of traditional methods using fixed weights for interpolation and the inaccuracy of using gradient threshold to determine edge regions, we propose a new model based on previous studies on multi-contrast MR image enhancement. Our model uses framelet decomposition to finely separate the edge structure of the T2 brain image, and uses the local regression weights calculated from T1 image to construct a global interpolation matrix, so that our model can not only guide the edge reconstruction more accurately where the weights are shared, but also carry out collaborative global optimization for the remaining pixels and their interpolated weights. Experimental results on a set of simulated MR data and two sets of real MR images show that the enhanced images obtained by the proposed method are superior to the compared methods in terms of visual sharpness or qualitative indicators.","","Mathematical biosciences and engineering : MBE","","10.3934/mbe.2023199","https://consensus.app/papers/multimodal-brain-mri-images-enhancement-based-on-framelet-xu-dai/402d1d39c6f95509bae92aa71bbbd0b0/"
"Cross-modal MRI synthesis in infant brain imaging using attention-augmented 3D-ResUNet","","Gunasekar Thangarasu, Kesava Rao Alla, A. Sheeba, T. Kavipriya, Kayalvizhi Subramanian",2026,0,"Accurately reconstructing missing MRI modalities can significantly enhance infant brain imaging studies, particularly given the high cost, noise sensitivity, and extended scan time required for acquiring multiple MRI sequences. Predicting missing modalities—such as synthesizing T2-weighted images from existing T1-weighted scans—has the potential to improve downstream tasks including diagnosis and tissue segmentation. However, traditional synthesis methods struggle to model the complex tissue contrast and rapid developmental changes in neonatal brains. In addition, limited emphasis on anatomically relevant regions and insufficient network depth often lead to loss of spatial detail. To address these challenges, we propose a novel 3D-ResUNet architecture enhanced with Attention Gates (AGs) for cross-modal synthesis of infant brain MRI data. The AGs selectively highlight informative anatomical regions during decoding, improving tissue-specific feature learning, while the use of three-dimensional residual blocks enhances spatial preservation and feature propagation. We evaluated the proposed model on the iSeg2017 dataset, where it outperformed state-of-the-art approaches including 3D-UNet, pix2pix3D, and CycleGAN. Our method demonstrated superior quantitative performance across multiple metrics (PSNR, SSIM, MAE, and NMSE), and qualitative analysis confirmed improved anatomical consistency, reduced artifacts, and higher fidelity in the synthesized T2-weighted images.","","","","10.1117/12.3106096","https://consensus.app/papers/crossmodal-mri-synthesis-in-infant-brain-imaging-using-thangarasu-alla/c61f449eafb0548e98f51768adf9a122/"
"Cross-Modal Vertical Federated Learning for MRI Reconstruction","Fed-CRFD improves MRI reconstruction by exploring overlapping samples and addressing the domain shift problem in multi-modality settings.","Yu-bao Yan, Hong Wang, Yawen Huang, Nanjun He, Lei Zhu, Yong Xu, Yuexiang Li, Yefeng Zheng",2024,27,"Federated learning enables multiple hospitals to cooperatively learn a shared model without privacy disclosure. Existing methods often take a common assumption that the data from different hospitals have the same modalities. However, such a setting is difficult to fully satisfy in practical applications, since the imaging guidelines may be different between hospitals, which makes the number of individuals with the same set of modalities limited. To this end, we formulate this practical-yet-challenging cross-modal vertical federated learning task, in which data from multiple hospitals have different modalities with a small amount of multi-modality data collected from the same individuals. To tackle such a situation, we develop a novel framework, namely Federated Consistent Regularization constrained Feature Disentanglement (Fed-CRFD), for boosting MRI reconstruction by effectively exploring the overlapping samples (i.e., same patients with different modalities at different hospitals) and solving the domain shift problem caused by different modalities. Particularly, our Fed-CRFD involves an intra-client feature disentangle scheme to decouple data into modality-invariant and modality-specific features, where the modality-invariant features are leveraged to mitigate the domain shift problem. In addition, a cross-client latent representation consistency constraint is proposed specifically for the overlapping samples to further align the modality-invariant features extracted from different modalities. Hence, our method can fully exploit the multi-source data from hospitals while alleviating the domain shift problem. Extensive experiments on two typical MRI datasets demonstrate that our network clearly outperforms state-of-the-art MRI reconstruction methods.","","IEEE Journal of Biomedical and Health Informatics","1","10.1109/jbhi.2024.3360720","https://consensus.app/papers/crossmodal-vertical-federated-learning-for-mri-yan-wang/d814a1d29c0154e186fad91685fe8577/"
"Multi-contrast brain magnetic resonance image super-resolution using the local weight similarity","The proposed MRI image super-resolution method improves low-resolution brain images by using local weight similarity from another contrast MRI image, enhancing in-plane resolution.","Hong Zheng, X. Qu, Zhengjian Bai, Yunsong Liu, D. Guo, Jiyang Dong, Xi Peng, Zhong Chen",2017,43,"Background: Low-resolution images may be acquired in magnetic resonance imaging (MRI) due to limited data acquisition time or other physical constraints, and their resolutions can be improved with super-resolution methods. Since MRI can offer images of an object with different contrasts, e.g., T1-weighted or T2-weighted, the shared information between inter-contrast images can be used to benefit super-resolution.

Methods: In this study, an MRI image super-resolution approach to enhance in-plane resolution is proposed by exploring the statistical information estimated from another contrast MRI image that shares similar anatomical structures. We assume some edge structures are shown both in T1-weighted and T2-weighted MRI brain images acquired of the same subject, and the proposed approach aims to recover such kind of structures to generate a high-resolution image from its low-resolution counterpart.

Results: The statistical information produces a local weight of image that are found to be nearly invariant to the image contrast and thus this weight can be used to transfer the shared information from one contrast to another. We analyze this property with comprehensive mathematics as well as numerical experiments.

Conclusion: Experimental results demonstrate that the image quality of low-resolution images can be remarkably improved with the proposed method if this weight is borrowed from a high resolution image with another contrast. Multi-contrast MRI Image Super-resolution with Contrast-invariant Regression Weights.","","BMC Medical Imaging","2","10.1186/s12880-016-0176-2","https://consensus.app/papers/multicontrast-brain-magnetic-resonance-image-zheng-qu/9fe912bc690e5a009b8b8b77ed907926/"
