Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Accelerated 3D whole-brain T1, T2, and proton density mapping: feasibility for clinical glioma MR imaging","3D QTI is a feasible and promising method for glioma MR imaging, providing comprehensive tissue assessment and improved disease characterization under tight clinical time constraints.","Carolin M. Pirkl, Laura Nunez-Gonzalez, F. Kofler, Sebastian Endt, Lioba Grundl, Mohammad Golbabaee, Pedro A. Gómez, Matteo Cencini, G. Buonincontri, R. Schulte, M. Smits, Benedikt Wiestler, Bjoern H Menze, M. Menzel, J. Hernandez-Tamames",2021,26,"Purpose: Advanced MRI-based biomarkers offer comprehensive and quantitative information for the evaluation and characterization of brain tumors. In this study, we report initial clinical experience in routine glioma imaging with a novel, fully 3D multiparametric quantitative transient-state imaging (QTI) method for tissue characterization based on T1 and T2 values.

Methods: To demonstrate the viability of the proposed 3D QTI technique, nine glioma patients (grade II-IV), with a variety of disease states and treatment histories, were included in this study. First, we investigated the feasibility of 3D QTI (6:25 min scan time) for its use in clinical routine imaging, focusing on image reconstruction, parameter estimation, and contrast-weighted image synthesis. Second, for an initial assessment of 3D QTI-based quantitative MR biomarkers, we performed a ROI-based analysis to characterize T1 and T2 components in tumor and peritumoral tissue.

Results: The 3D acquisition combined with a compressed sensing reconstruction and neural network-based parameter inference produced parametric maps with high isotropic resolution (1.125 × 1.125 × 1.125 mm3 voxel size) and whole-brain coverage (22.5 × 22.5 × 22.5 cm3 FOV), enabling the synthesis of clinically relevant T1-weighted, T2-weighted, and FLAIR contrasts without any extra scan time. Our study revealed increased T1 and T2 values in tumor and peritumoral regions compared to contralateral white matter, good agreement with healthy volunteer data, and high inter-subject consistency.

Conclusion: 3D QTI demonstrated comprehensive tissue assessment of tumor substructures captured in T1 and T2 parameters. Aiming for fast acquisition of quantitative MR biomarkers, 3D QTI has potential to improve disease characterization in brain tumor patients under tight clinical time-constraints.

© 2021. The Author(s).","","Neuroradiology","1","10.1007/s00234-021-02703-0","https://consensus.app/papers/accelerated-3d-wholebrain-t1-t2-and-proton-density-mapping-pirkl-nunez-gonzalez/530f0955b0e65e8ab5765ff2429aa362/"
"Deep learning based synthesis of MRI, CT and PET: Review and analysis","Deep learning-based generative modeling has shown superior performance in medical image synthesis, enabling accurate clinical decision-making across various imaging contrasts.","Sanuwani Dayarathna, Kh Tohidul Islam, S. Uribe, Guan Yang, Munawar Hayat, Zhaolin Chen",2023,232,"","","Medical image analysis","1","10.1016/j.media.2023.103046","https://consensus.app/papers/deep-learning-based-synthesis-of-mri-ct-and-pet-review-and-dayarathna-islam/488f8493376959ff823a61841f839f6c/"
"MTSR-MRI: Combined Modality Translation and Super-Resolution of Magnetic Resonance Images","MTSR-MRI can upscale low-resolution MRI scans and translate between T1-weighted and T2-weighted modalities, potentially reducing scan time or repeat scans.","Avirup Dey, Mehran Ebrahimi",2023,4,"Magnetic resonance imaging (MRI) is a common non-invasive imaging technique with high soft tissue contrast. Different MRI modalities are used for the diagnosis of various conditions including T1-weighted and T2-weighted MRI. In this paper, we introduce MTSR-MRI, a novel method that can not only upscale low-resolution scans but also translates between the T1-weighted and T2-weighted modalities. This will potentially reduce the scan time or repeat scans by taking low-resolution inputs in one modality and returning plausible high-resolution output in another modality. Due to the ambiguity that persists in image-to-image translation tasks, we consider the distribution of possible outputs in a conditional generative setting. The mapping is distilled in a low-dimensional latent distribution which can be randomly sampled at test time, thus allowing us to generate multiple plausible high-resolution outputs from a given low-resolution input. We validate the proposed method on the BraTS-18 dataset qualitatively and quantitatively using a variety of similarity measures. The implementation of this work will be available at https://github.com/AvirupJU/MTSR-MRI .","","","","","https://consensus.app/papers/mtsrmri-combined-modality-translation-and-dey-ebrahimi/1f240d04477254a0837facd78cfc3e47/"
"Bi-MGAN: Bidirectional T1-to-T2 MRI images prediction using multi-generative multi-adversarial nets","Bi-MGAN effectively predicts desired MRI modality from acquired modality, reducing costs and improving throughput in medical imaging.","Liming Xu, He Zhang, Lanyu Song, Yanrong Lei",2022,14,"","","Biomed. Signal Process. Control.","1","10.1016/j.bspc.2022.103994","https://consensus.app/papers/bimgan-bidirectional-t1tot2-mri-images-prediction-using-xu-zhang/9103dbb5acb3564ab3f85847fff94913/"
"Cross‐vendor multiparametric mapping of the human brain using 3D‐QALAS: A multicenter and multivendor study","3D-QALAS is a vendor-agnostic multiparametric mapping technique that provides reproducible measurements of T1, T2, and PD for human tissues across different MRI manufacturers.","S. Fujita, B. Gagoski, K. Hwang, A. Hagiwara, M. Warntjes, Issei Fukunaga, W. Uchida, Y. Saito, Towa Sekine, Rina Tachibana, Tomoya Muroi, T. Akatsu, Akihiro Kasahara, Ryo Sato, Tsuyoshi Ueyama, C. Andica, K. Kamagata, Shiori Amemiya, H. Takao, Y. Hoshino, Y. Tomizawa, Kazumasa Yokoyama, B. Bilgiç, Nobutaka Hattori, Osamu Abe, S. Aoki",2024,21,"Purpose: To evaluate a vendor-agnostic multiparametric mapping scheme based on 3D quantification using an interleaved Look-Locker acquisition sequence with a T2 preparation pulse (3D-QALAS) for whole-brain T1, T2, and proton density (PD) mapping.

Methods: This prospective, multi-institutional study was conducted between September 2021 and February 2022 using five different 3T systems from four prominent MRI vendors. The accuracy of this technique was evaluated using a standardized MRI system phantom. Intra-scanner repeatability and inter-vendor reproducibility of T1, T2, and PD values were evaluated in 10 healthy volunteers (6 men; mean age ± SD, 28.0 ± 5.6 y) who underwent scan-rescan sessions on each scanner (total scans = 100). To evaluate the feasibility of 3D-QALAS, nine patients with multiple sclerosis (nine women; mean age ± SD, 48.2 ± 11.5 y) underwent imaging examination on two 3T MRI systems from different manufacturers.

Results: Quantitative maps obtained with 3D-QALAS showed high linearity (R2 = 0.998 and 0.998 for T1 and T2, respectively) with respect to reference measurements. The mean intra-scanner coefficients of variation for each scanner and structure ranged from 0.4% to 2.6%. The mean structure-wise test-retest repeatabilities were 1.6%, 1.1%, and 0.7% for T1, T2, and PD, respectively. Overall, high inter-vendor reproducibility was observed for all parameter maps and all structure measurements, including white matter lesions in patients with multiple sclerosis.

Conclusion: The vendor-agnostic multiparametric mapping technique 3D-QALAS provided reproducible measurements of T1, T2, and PD for human tissues within a typical physiological range using 3T scanners from four different MRI manufacturers.

© 2024 The Authors. Magnetic Resonance in Medicine published by Wiley Periodicals LLC on behalf of International Society for Magnetic Resonance in Medicine.","","Magnetic Resonance in Medicine","1","10.1002/mrm.29939","https://consensus.app/papers/crossvendor-multiparametric-mapping-of-the-human-brain-fujita-gagoski/c7b10e6824bc581fba14ecdff9dff940/"
"Cross-Modal Retrieval: A Systematic Review of Methods and Future Directions","Cross-modal retrieval offers a comprehensive solution for accessing diverse multimodal data, enabling semantic matching and promoting consistency across heterogeneous data.","Lei Zhu, Tianshi Wang, Fengling Li, Jingjing Li, Zheng Zhang, H. Shen",2023,107,"With the exponential surge in diverse multimodal data, traditional unimodal retrieval methods struggle to meet the needs of users seeking access to data across various modalities. To address this, cross-modal retrieval has emerged, enabling interaction across modalities, facilitating semantic matching, and leveraging complementarity and consistency between heterogeneous data. Although prior literature has reviewed the field of cross-modal retrieval, it suffers from numerous deficiencies in terms of timeliness, taxonomy, and comprehensiveness. This article conducts a comprehensive review of cross-modal retrieval’s evolution, spanning from shallow statistical analysis techniques to vision-language pretraining (VLP) models. Commencing with a comprehensive taxonomy grounded in machine learning paradigms, mechanisms, and models, this article delves deeply into the principles and architectures underpinning existing cross-modal retrieval methods. Furthermore, it offers an overview of widely used benchmarks, metrics, and performances. Lastly, this article probes the prospects and challenges that confront contemporary cross-modal retrieval, while engaging in a discourse on potential directions for further progress in the field. To facilitate the ongoing research on cross-modal retrieval, we develop a user-friendly toolbox and an open-source repository at https://cross-modal-retrieval.github.io.","literature review","Proceedings of the IEEE","1","10.1109/jproc.2024.3525147","https://consensus.app/papers/crossmodal-retrieval-a-systematic-review-of-methods-and-zhu-wang/38affbf07d3052f7ba8dec775018c76c/"
"MRI Cross-Modality Image-to-Image Translation","Our cross-modality generation framework using cGANs improves cross-modality registration and segmentation in brain MRI, advancing the state-of-the-art on five brain MRI datasets.","Qianye Yang, Nannan Li, Zixu Zhao, Xingyu Fan, E. Chang, Yan Xu",2020,151,"We present a cross-modality generation framework that learns to generate translated modalities from given modalities in MR images. Our proposed method performs Image Modality Translation (abbreviated as IMT) by means of a deep learning model that leverages conditional generative adversarial networks (cGANs). Our framework jointly exploits the low-level features (pixel-wise information) and high-level representations (e.g. brain tumors, brain structure like gray matter, etc.) between cross modalities which are important for resolving the challenging complexity in brain structures. Our framework can serve as an auxiliary method in medical use and has great application potential. Based on our proposed framework, we first propose a method for cross-modality registration by fusing the deformation fields to adopt the cross-modality information from translated modalities. Second, we propose an approach for MRI segmentation, translated multichannel segmentation (TMS), where given modalities, along with translated modalities, are segmented by fully convolutional networks (FCN) in a multichannel manner. Both of these two methods successfully adopt the cross-modality information to improve the performance without adding any extra data. Experiments demonstrate that our proposed framework advances the state-of-the-art on five brain MRI datasets. We also observe encouraging results in cross-modality registration and segmentation on some widely adopted brain datasets. Overall, our work can serve as an auxiliary method in medical use and be applied to various tasks in medical fields.","","Scientific Reports","1","10.1038/s41598-020-60520-6","https://consensus.app/papers/mri-crossmodality-imagetoimage-translation-yang-li/688552f1c3855f7f96a2ecb9c3ea4342/"
"Self-Attentive Spatial Adaptive Normalization for Cross-Modality Domain Adaptation","Our novel approach for cross-modality medical image translation using adversarial training and self-attentive spatial normalization improves image quality and reduces annotation burden for radiologists.","Devavrat Tomar, M. Lortkipanidze, Guillaume Vray, Behzad Bozorgtabar, J. Thiran",2021,101,"Despite the successes of deep neural networks on many challenging vision tasks, they often fail to generalize to new test domains that are not distributed identically to the training data. The domain adaptation becomes more challenging for cross-modality medical data with a notable domain shift. Given that specific annotated imaging modalities may not be accessible nor complete. Our proposed solution is based on the cross-modality synthesis of medical images to reduce the costly annotation burden by radiologists and bridge the domain gap in radiological images. We present a novel approach for image-to-image translation in medical images, capable of supervised or unsupervised (unpaired image data) setups. Built upon adversarial training, we propose a learnable self-attentive spatial normalization of the deep convolutional generator network's intermediate activations. Unlike previous attention-based image-to-image translation approaches, which are either domain-specific or require distortion of the source domain's structures, we unearth the importance of the auxiliary semantic information to handle the geometric changes and preserve anatomical structures during image translation. We achieve superior results for cross-modality segmentation between unpaired MRI and CT data for multi-modality whole heart and multi-modal brain tumor MRI (T1/T2) datasets compared to the state-of-the-art methods. We also observe encouraging results in cross-modality conversion for paired MRI and CT images on a brain dataset. Furthermore, a detailed analysis of the cross-modality image translation, thorough ablation studies confirm our proposed method's efficacy.","","IEEE Transactions on Medical Imaging","1","10.1109/tmi.2021.3059265","https://consensus.app/papers/selfattentive-spatial-adaptive-normalization-for-tomar-lortkipanidze/12a086ed44525152ba5fe1756ec6e3cf/"
"Prior-Guided Image Reconstruction for Accelerated Multi-Contrast MRI via Generative Adversarial Networks","The proposed method improves the quality and scan efficiency of multi-contrast MRI exams by utilizing three priors, enhancing recovery of high-level features.","S. Dar, Mahmut Yurt, M. Shahdloo, M. E. Ildiz, Berk Tınaz, Tolga Cukur",2020,163,"Multi-contrast MRI acquisitions of an anatomy enrich the magnitude of information available for diagnosis. Yet, excessive scan times associated with additional contrasts may be a limiting factor. Two mainstream frameworks for enhanced scan efficiency are reconstruction of undersampled acquisitions and synthesis of missing acquisitions. Recently, deep learning methods have enabled significant performance improvements in both frameworks. Yet, reconstruction performance decreases towards higher acceleration factors with diminished sampling density at high-spatial-frequencies, whereas synthesis can manifest artefactual sensitivity or insensitivity to image features due to the absence of data samples from the target contrast. In this article, we propose a new approach for synergistic recovery of undersampled multi-contrast acquisitions based on conditional generative adversarial networks. The proposed method mitigates the limitations of pure learning-based reconstruction or synthesis by utilizing three priors: shared high-frequency prior available in the source contrast to preserve high-spatial-frequency details, low-frequency prior available in the undersampled target contrast to prevent feature leakage/loss, and perceptual prior to improve recovery of high-level features. Demonstrations on brain MRI datasets from healthy subjects and patients indicate the superior performance of the proposed method compared to pure reconstruction and synthesis methods. The proposed method can help improve the quality and scan efficiency of multi-contrast MRI exams.","","IEEE Journal of Selected Topics in Signal Processing","1","10.1109/jstsp.2020.3001737","https://consensus.app/papers/priorguided-image-reconstruction-for-accelerated-dar-yurt/29fe696dd93e51718baceca23429c088/"
"Undersampled Multi-Contrast MRI Reconstruction Based on Double-Domain Generative Adversarial Network","The proposed two-stage generative adversarial network effectively reconstructs undersampled multi-contrast MRI images, accelerating acquisition while maintaining image quality and reducing artifacts.","Haining Wei, Zhong-kai Li, Shuai Wang, Rui Li",2022,31,"Multi-contrast magnetic resonance imaging can provide comprehensive information for clinical diagnosis. However, multi-contrast imaging suffers from long acquisition time, which makes it inhibitive for daily clinical practice. Subsampling k-space is one of the main methods to speed up scan time. Missing k-space samples will lead to inevitable serious artifacts and noise. Considering the assumption that different contrast modalities share some mutual information, it may be possible to exploit this redundancy to accelerate multi-contrast imaging acquisition. Recently, generative adversarial network shows superior performance in image reconstruction and synthesis. Some studies based on k-space reconstruction also exhibit superior performance over conventional state-of-art method. In this study, we propose a cross-domain two-stage generative adversarial network for multi-contrast images reconstruction based on prior full-sampled contrast and undersampled information. The new approach integrates reconstruction and synthesis, which estimates and completes the missing k-space and then refines in image space. It takes one fully-sampled contrast modality data and highly undersampled data from several other modalities as input, and outputs high quality images for each contrast simultaneously. The network is trained and tested on a public brain dataset from healthy subjects. Quantitative comparisons against baseline clearly indicate that the proposed method can effectively reconstruct undersampled images. Even under high acceleration, the network still can recover texture details and reduce artifacts.","","IEEE Journal of Biomedical and Health Informatics","1","10.1109/jbhi.2022.3143104","https://consensus.app/papers/undersampled-multicontrast-mri-reconstruction-based-on-wei-li/877edba9c92455599fbac04040920edb/"
"LEARNING MRI CONTRAST-AGNOSTIC REGISTRATION","This study presents a strategy for learning image registration without acquired imaging data, producing powerful networks agnostic to magnetic resonance imaging (MRI) contrast, and surpassing classical state-of-the-art brain registration accuracy by up to 12.4 Dice points.","Malte Hoffmann, Benjamin Billot, J. E. Iglesias, B. Fischl, Adrian V. Dalca",2021,11,"We introduce a strategy for learning image registration without acquired imaging data, producing powerful networks agnostic to magnetic resonance imaging (MRI) contrast. While classical methods accurately estimate the spatial correspondence between images, they solve an optimization problem for every new image pair. Learning methods are fast at test time but limited to images with contrasts and geometric content similar to those seen during training. We propose to remove this dependency using a generative strategy that exposes networks to a wide range of images synthesized from segmentations during training, forcing them to generalize across contrasts. We show that networks trained within this framework generalize to a broad array of unseen MRI contrasts and surpass classical state-of-the-art brain registration accuracy by up to 12.4 Dice points for a variety of tested contrast combinations. Critically, training on arbitrary shapes synthesized from noise distributions results in competitive performance, removing the dependency on acquired data of any kind. Additionally, since anatomical label maps are often available for the anatomy of interest, we show that synthesizing images from these dramatically boosts performance, while still avoiding the need for real intensity images during training.","","Proceedings. IEEE International Symposium on Biomedical Imaging","","10.1109/isbi48211.2021.9434113","https://consensus.app/papers/learning-mri-contrastagnostic-registration-hoffmann-billot/f70fa2094ea055729044263c5fb74967/"
"Reliable brain morphometry from contrast‐enhanced T1w‐MRI in patients with multiple sclerosis","Deep learning-based morphometry tools can reliably extract brain morphometry from contrast-enhanced MRI, increasing the number of cases available for analysis and potential future diagnostic tools.","M. Rebsamen, Richard McKinley, Piotr Radojewski, M. Pistor, C. Friedli, R. Hoepner, A. Salmen, A. Chan, M. Reyes, F. Wagner, R. Wiest, C. Rummel",2022,19,"Brain morphometry is usually based on non-enhanced (pre-contrast) T1-weighted MRI. However, such dedicated protocols are sometimes missing in clinical examinations. Instead, an image with a contrast agent is often available. Existing tools such as FreeSurfer yield unreliable results when applied to contrast-enhanced (CE) images. Consequently, these acquisitions are excluded from retrospective morphometry studies, which reduces the sample size. We hypothesize that deep learning (DL)-based morphometry methods can extract morphometric measures also from contrast-enhanced MRI. We have extended DL+DiReCT to cope with contrast-enhanced MRI. Training data for our DL-based model were enriched with non-enhanced and CE image pairs from the same session. The segmentations were derived with FreeSurfer from the non-enhanced image and used as ground truth for the coregistered CE image. A longitudinal dataset of patients with multiple sclerosis (MS), comprising relapsing remitting (RRMS) and primary progressive (PPMS) subgroups, was used for the evaluation. Global and regional cortical thickness derived from non-enhanced and CE images were contrasted to results from FreeSurfer. Correlation coefficients of global mean cortical thickness between non-enhanced and CE images were significantly larger with DL+DiReCT (r = 0.92) than with FreeSurfer (r = 0.75). When comparing the longitudinal atrophy rates between the two MS subgroups, the effect sizes between PPMS and RRMS were higher with DL+DiReCT both for non-enhanced (d = -0.304) and CE images (d = -0.169) than for FreeSurfer (non-enhanced d = -0.111, CE d = 0.085). In conclusion, brain morphometry can be derived reliably from contrast-enhanced MRI using DL-based morphometry tools, making additional cases available for analysis and potential future diagnostic morphometry tools.

© 2022 The Authors. Human Brain Mapping published by Wiley Periodicals LLC.","","Human Brain Mapping","1","10.1002/hbm.26117","https://consensus.app/papers/reliable-brain-morphometry-from-contrastenhanced-t1wmri-rebsamen-mckinley/d2345a4bfb3b5f67a15c8a7c95d44427/"
"Synthetic MRI in action: A novel framework in data augmentation strategies for robust multi-modal brain tumor segmentation","This study successfully generates synthetic T1CE scans from T1 using an image-to-image translation framework, reducing reliance on hard-to-acquire modalities and improving brain tumor segmentation accuracy.","Kaliprasad Pani, Indu Chawla",2024,19,"","","Computers in biology and medicine","1","10.1016/j.compbiomed.2024.109273","https://consensus.app/papers/synthetic-mri-in-action-a-novel-framework-in-data-pani-chawla/669525148b8c5f87bc8bc5bee78101c8/"
"Improving resolution of MR images with an adversarial network incorporating images with different contrast","The proposed deep learning framework using high resolution MR images in one contrast can improve down-sampled MR images in another contrast, reducing total scan time and improving image quality.","Ki Hwan Kim, Won-joon Do, Sung-Hong Park",2018,96,"Purpose: The routine MRI scan protocol consists of multiple pulse sequences that acquire images of varying contrast. Since high frequency contents such as edges are not significantly affected by image contrast, down-sampled images in one contrast may be improved by high resolution (HR) images acquired in another contrast, reducing the total scan time. In this study, we propose a new deep learning framework that uses HR MR images in one contrast to generate HR MR images from highly down-sampled MR images in another contrast.

Materials and methods: The proposed convolutional neural network (CNN) framework consists of two CNNs: (a) a reconstruction CNN for generating HR images from the down-sampled images using HR images acquired with a different MRI sequence and (b) a discriminator CNN for improving the perceptual quality of the generated HR images. The proposed method was evaluated using a public brain tumor database and in vivo datasets. The performance of the proposed method was assessed in tumor and no-tumor cases separately, with perceptual image quality being judged by a radiologist. To overcome the challenge of training the network with a small number of available in vivo datasets, the network was pretrained using the public database and then fine-tuned using the small number of in vivo datasets. The performance of the proposed method was also compared to that of several compressed sensing (CS) algorithms.

Results: Incorporating HR images of another contrast improved the quantitative assessments of the generated HR image in reference to ground truth. Also, incorporating a discriminator CNN yielded perceptually higher image quality. These results were verified in regions of normal tissue as well as tumors for various MRI sequences from pseudo k-space data generated from the public database. The combination of pretraining with the public database and fine-tuning with the small number of real k-space datasets enhanced the performance of CNNs in in vivo application compared to training CNNs from scratch. The proposed method outperformed the compressed sensing methods.

Conclusions: The proposed method can be a good strategy for accelerating routine MRI scanning.

© 2018 American Association of Physicists in Medicine.","","Medical Physics","1","10.1002/mp.12945","https://consensus.app/papers/improving-resolution-of-mr-images-with-an-adversarial-kim-do/64c4a0a79af8546dadf9a6260aa8a9cb/"
"3D balanced SSFP UTE MRI for multiple contrasts whole brain imaging","The new 3D balanced SSFP UTE MRI sequence effectively captures ultra-short transverse relaxation time components in the brain, providing easy extraction and reference in a single acquisition.","Xin Shen, E. Caverzasi, Yang Yang, Xiaoxi Liu, Ari Green, Roland Henry, U. Emir, P. Larson",2024,7,"Purpose: This study aimed to develop a new high-resolution MRI sequence for the imaging of the ultra-short transverse relaxation time (uT2) components in the brain, while simultaneously providing proton density (PD) contrast for reference and quantification.

Theory: The sequence combines low flip angle balanced SSFP (bSSFP) and UTE techniques, together with a 3D dual-echo rosette k-space trajectory for readout.

Methods: The expected image contrast was evaluated by simulations. A study cohort of six healthy volunteers and eight multiple sclerosis (MS) patients was recruited to test the proposed sequence. Subtraction between two TEs was performed to extract uT2 signals. In addition, conventional longitudinal relaxation time (T1) weighted, T2-weighted, and PD-weighted MRI sequences were also acquired for comparison.

Results: Typical PD-contrast was found in the second TE images, while uT2 signals were selectively captured in the first TE images. The subtraction images presented signals primarily originating from uT2 components, but only if the first TE is short enough. Lesions in the MS subjects showed hyperintense signals in the second TE images but were hypointense signals in the subtraction images. The lesions had significantly lower signal intensity in subtraction images than normal white matter (WM), which indicated a reduction of uT2 components likely associated with myelin.

Conclusion: 3D isotropic sub-millimeter (0.94 mm) spatial resolution images were acquired with the novel bSSFP UTE sequence within 3 min. It provided easy extraction of uT2 signals and PD-contrast for reference within a single acquisition.

© 2024 International Society for Magnetic Resonance in Medicine.","","Magnetic Resonance in Medicine","1","10.1002/mrm.30093","https://consensus.app/papers/3d-balanced-ssfp-ute-mri-for-multiple-contrasts-whole-brain-shen-caverzasi/bff1c16d57e2517aac2e0afe65b308cc/"
"Deep Learning Based Multi-Modal Fusion for Fast MR Reconstruction","Dense-Unet, a novel deep learning approach, can reconstruct a 3D T2WI volume in less than 10 seconds with minimal aliasing artifacts and signal-noise-ratio loss.","Lei Xiang, Yong Chen, Weitang Chang, Y. Zhan, Weili Lin, D. Shen",2018,150,"T1-weighted image (T1WI) and T2-weighted image (T2WI) are the two routinely acquired magnetic resonance (MR) modalities that can provide complementary information for clinical and research usages. However, the relatively long acquisition time makes the acquired image vulnerable to motion artifacts. To speed up the imaging process, various algorithms have been proposed to reconstruct high-quality images from under-sampled k-space data. However, most of the existing algorithms only rely on mono-modality acquisition for the image reconstruction. In this paper, we propose to combine complementary MR acquisitions (i.e., T1WI and under-sampled T2WI particularly) to reconstruct the high-quality image (i.e., corresponding to the fully-sampled T2WI). To the best of our knowledge, this is the first work to fuse multi-modal MR acquisitions through deep learning to speed up the reconstruction of a certain target image. Specifically, we present a novel deep learning approach, namely Dense-Unet, to accomplish the reconstruction task. The proposed Dense-Unet requires fewer parameters and less computation, while achieving promising performance. Our results have shown that Dense-Unet can reconstruct a 3D T2WI volume in less than 10 seconds with an under-sampling rate of 8 for the k-space and negligible aliasing artifacts or signal-noise-ratio (SNR) loss. Experiments also demonstrate excellent transferring capability of Dense-Unet when applied to the datasets acquired by different MR scanners. The above results imply great potential of our method in many clinical scenarios.","","IEEE transactions on bio-medical engineering","1","10.1109/tbme.2018.2883958","https://consensus.app/papers/deep-learning-based-multimodal-fusion-for-fast-mr-xiang-chen/12693b643457596789106042444d2c71/"
"COMPARISON OF POST-CONTRAST 3D-T1-SPACE, 3D-T2-FLAIR AND 3D-T1-MPRAGE MR
SEQUENCES IN THE EVALUATION OF MENINGEAL AND BRAIN PARENCHYMAL PATHOLOGIES","Post-contrast 3D-T1-SPACE and 3D-T2-FLAIR MR sequences provide more valuable information than conventional 3D-T1-MPRAGE for evaluating meningeal and brain parenchymal diseases.","A.Mohideen, V.Dheebha, S. Priya",2021,0,"Background and purpose: The purpose of this study was to assess the value added by contrast-enhanced threedimensional (3D) -T2 fluid-attenuated inversion recovery sequence (FLAIR) and 3D-T1 sampling perfection with
application optimized contrast using different flip-angle evolutions(SPACE) sequences to conventional post-contrast
3D-T1 magnetisation prepared rapid gradient-echo (MPRAGE) images in the evaluation of meningeal and brain
parenchymal diseases.
Materials and methods:A total of 60 patients with magnetic resonance imaging (MRI) findings suggestive of infectious
/ inflammatory / metastatic parenchymal and/or meningeal abnormalities, were selected from patients who underwent
MRI brain with intravenous (IV) contrast from March 2019 to Nov 2019.All the patients had their diagnosis confirmed by
histopathological or microbiological studies, as deemed appropriate. Two radiologists independently assessed the
presence of additional information on post-contrast (PC) 3D-T2-FLAIR and 3D-T1-SPACE images and compared them
with PC 3D-T1-MPRAGE images.
Results: Both reviewers found that post contrast 3 D-T1-SPACE provided more additional information than post contrast
3D-T1-MPRAGE in the evaluation of brain parenchymal and supratentorial meningeal abnormalities.PC 3D-T2-FLAIR is
an excellent tool in the evaluation of intratentorial leptomeningeal abnormalities and identifying the scolex in patients
with neurocysticercosis (NCC), presenting with ring enhancing lesions.","","PARIPEX INDIAN JOURNAL OF RESEARCH","","10.36106/paripex/6409931","https://consensus.app/papers/comparison-of-postcontrast-3dt1space-3dt2flair-and-amohideen-vdheebha/5ef77cdf94e95ba0b9bd7b2a1ff31ba8/"
"Content-Based Brain Tumor Retrieval for MR Images Using Transfer Learning","Our deep convolutional neural network VGG19-based feature extraction framework and transfer learning strategy effectively improve content-based image retrieval for brain tumors on T1-weighted contrast-enhanced magnetic resonance images, outperforming state-of-the-art systems.","Zar Nawab Khan Swati, Qinghua Zhao, Muhammad Kabir, Farman Ali, Zakir Ali, Saeed Ahmed, Jianfeng Lu",2019,194,"This paper presents an automatic content-based image retrieval (CBIR) system for brain tumors on T1-weighted contrast-enhanced magnetic resonance images (CE-MRI). The key challenge in CBIR systems for MR images is the semantic gap between the low-level visual information captured by the MRI machine and the high-level information perceived by the human evaluator. The traditional feature extraction methods focus only on low-level or high-level features and use some handcrafted features to reduce this gap. It is necessary to design a feature extraction framework to reduce this gap without using handcrafted features by encoding/combining low-level and high-level features. Deep learning is very powerful for feature representation that can depict low-level and high-level information completely and embed the phase of feature extraction in self-learning. Therefore, we propose a deep convolutional neural network VGG19-based novel feature extraction framework and apply closed-form metric learning to measure the similarity between the query image and database images. Furthermore, we adopt transfer learning and propose a block-wise fine-tuning strategy to enhance the retrieval performance. The extensive experiments are performed on a publicly available CE-MRI dataset that consists of three types of brain tumors (i.e., glioma, meningioma, and pituitary tumor) collected from 233 patients with a total of 3064 images across the axial, coronal, and sagittal views. Our method is more generic, as we do not use any handcrafted features; it requires minimal preprocessing, tested as robust on fivefold cross-validation, can achieve a fivefold mean average precision of 96.13%, and outperforms the state-of-the-art CBIR systems on the CE-MRI dataset.","","IEEE Access","1","10.1109/access.2019.2892455","https://consensus.app/papers/contentbased-brain-tumor-retrieval-for-mr-images-using-swati-zhao/6b72b74c215758e98906ef867359d89d/"
